id,belongs_to_collection,budget,genres,original_language,popularity,production_companies,production_countries,release_date,runtime,spoken_languages,Keywords,cast,crew,revenue
0,1,357.0,14000000.0,532.0,0,6.575392999999999,64.0,1.0,21964.75,93.0,1.0,2156.0,2203.0,2958.0,12314651
1,2,207.0,40000000.0,558.0,0,8.248895,5.0,1.0,18114.75,113.0,1.0,1896.0,540.0,622.0,95149435
2,3,,3300000.0,193.0,0,64.29999000000001,1570.0,1.0,21831.75,105.0,1.0,1563.0,2882.0,329.0,13092000
3,4,,1200000.0,637.0,1,3.174936,,131.0,20886.75,122.0,105.0,2467.0,2025.0,2651.0,16000000
4,5,,,483.0,2,1.1480700000000001,,212.0,19758.75,118.0,296.0,,2559.0,2604.0,3923970
5,6,,8000000.0,156.0,0,0.743274,,,11904.75,83.0,1.0,,2033.0,2471.0,3261638
6,7,,14000000.0,330.0,0,7.2864770000000005,1244.0,12.0,21060.75,92.0,1.0,,2154.0,1524.0,85446075
7,8,,,732.0,0,1.9490439999999998,,,17910.75,84.0,280.0,1321.0,2851.0,2698.0,2586511
8,9,329.0,,473.0,0,6.902423,25.0,1.0,15020.75,100.0,1.0,1811.0,1503.0,2442.0,34327391
9,10,,6000000.0,593.0,0,4.672036,664.0,1.0,17636.75,91.0,1.0,2544.0,1454.0,1796.0,18750246
10,11,24.0,1000000.0,193.0,0,14.774066,579.0,1.0,7994.75,119.0,1.0,264.0,1610.0,835.0,117235147
11,12,116.0,,532.0,0,10.54375,907.0,1.0,11877.75,98.0,1.0,2258.0,2330.0,1940.0,22642033
12,13,,15000000.0,193.0,0,20.726578,369.0,1.0,16327.75,122.0,1.0,339.0,575.0,51.0,356296601
13,14,164.0,53000000.0,578.0,0,13.314232999999998,750.0,1.0,18324.75,118.0,69.0,2081.0,1259.0,357.0,95226116
14,15,,102000000.0,495.0,0,20.666063,357.0,1.0,17336.75,145.0,135.0,724.0,228.0,310.0,358372926
15,16,,500000.0,501.0,3,1.018477,2337.0,311.0,20366.75,97.0,378.0,542.0,2809.0,2803.0,198
16,17,,26000000.0,330.0,0,6.336926999999999,367.0,1.0,18477.75,85.0,69.0,1641.0,2212.0,187.0,57891803
17,18,,,289.0,0,4.1835580000000006,832.0,37.0,21542.75,111.0,1.0,2246.0,1037.0,297.0,1234254
18,19,,8000000.0,596.0,0,6.496258999999999,1611.0,270.0,20485.75,96.0,204.0,381.0,2437.0,2574.0,1749457
19,20,60.0,32000000.0,489.0,0,11.359658999999999,889.0,59.0,18475.75,87.0,15.0,1146.0,369.0,54.0,85167639
20,21,,80000000.0,96.0,0,12.000579,299.0,1.0,15797.75,130.0,1.0,2158.0,55.0,870.0,136159423
21,22,63.0,4000000.0,330.0,0,7.99229,126.0,1.0,10085.75,95.0,1.0,1745.0,2303.0,1803.0,36690067
22,23,300.0,,645.0,0,7.820786999999999,2213.0,1.0,21027.75,116.0,1.0,2335.0,2869.0,2222.0,100345
23,24,,,681.0,0,1.323333,2055.0,1.0,20697.75,92.0,1.0,,1182.0,2846.0,17011
24,25,,,322.0,0,7.434577,842.0,226.0,18878.75,87.0,15.0,1936.0,2006.0,1757.0,4947717
25,26,,,565.0,0,1.252367,413.0,153.0,13809.75,95.0,1.0,,1602.0,1612.0,8403433
26,27,,10000000.0,701.0,0,4.305734999999999,2225.0,1.0,15590.75,110.0,1.0,1198.0,2388.0,660.0,13835130
27,28,,11000000.0,237.0,0,10.841891,1863.0,130.0,21433.75,93.0,1.0,2515.0,1386.0,2518.0,7847000
28,29,,6000000.0,154.0,0,6.759181,1078.0,1.0,11541.75,84.0,89.0,2138.0,1822.0,1978.0,5849647
29,30,,45000000.0,403.0,0,7.81862,50.0,1.0,17262.75,89.0,1.0,305.0,327.0,1078.0,94935764
30,31,,13000000.0,232.0,4,16.086919,243.0,59.0,20758.75,112.0,2.0,2032.0,1997.0,1888.0,426480871
31,32,,,771.0,4,5.69586,762.0,268.0,18383.75,117.0,178.0,59.0,1065.0,956.0,36000000
32,33,,90000000.0,131.0,0,13.412445000000002,1093.0,1.0,22207.75,106.0,1.0,284.0,1471.0,374.0,146936910
33,34,301.0,,307.0,0,8.254856,1748.0,24.0,21823.75,125.0,281.0,2403.0,2900.0,2857.0,7171
34,35,160.0,140000000.0,466.0,0,9.718111,253.0,1.0,19211.75,91.0,319.0,1690.0,58.0,524.0,258022233
35,36,,30000000.0,507.0,0,8.234382,1561.0,1.0,20924.75,94.0,103.0,2620.0,363.0,979.0,40346186
36,37,,,596.0,0,2.100499,1519.0,200.0,16462.75,105.0,1.0,887.0,1418.0,2941.0,151559
37,38,,50000000.0,435.0,0,13.676444,1262.0,1.0,14677.75,127.0,117.0,1469.0,936.0,1322.0,189859560
38,39,,,630.0,0,0.32926,,,21439.75,90.0,92.0,,2784.0,2813.0,92100
